statenum,casenum,vnumber,pnumber,city,county,accdate,accday,accmon,caseyear,driverdrowsy,latitude,longitude,age,airbag,prf1,prf2,prf3,restraint,body,gvwrating,vfatcount,make,model,modelyr,vrf1,vrf2,drivpres,drf1,drf2,drf3,drf4,dridistract
1,211,1,1,930,69,2/9/16,9,2,2016,0,31.18929444,-85.40283056,82,8,0,0,0,3,4,0,1,12,23,2015,0,0,1,38,0,0,0,0
1,211,1,2,930,69,2/9/16,9,2,2016,0,31.18929444,-85.40283056,82,8,0,0,0,3,4,0,1,12,23,2015,0,0,1,38,0,0,0,0
1,212,2,1,0,27,2/7/16,7,2,2016,0,33.18625556,-85.93315833,20,8,0,0,0,3,5,0,0,37,37,2010,0,0,1,0,0,0,0,0
1,212,2,2,0,27,2/7/16,7,2,2016,0,33.18625556,-85.93315833,998,8,0,0,0,3,5,0,0,37,37,2010,0,0,1,0,0,0,0,0
1,217,1,1,0,9,2/4/16,4,2,2016,0,34.04534722,-86.33491111,26,1,0,0,0,3,4,0,1,12,23,2015,0,0,1,39,0,0,0,99
1,218,1,1,0,47,1/2/16,2,1,2016,0,32.46552222,-87.07329444,43,1,0,0,0,7,14,0,1,20,404,2008,0,0,1,89,0,0,0,99
1,227,1,1,0,101,1/2/16,2,1,2016,0,32.41687778,-86.35568889,18,1,0,0,0,3,4,0,0,12,23,2011,0,0,1,0,0,0,0,92
1,227,2,1,0,101,1/2/16,2,1,2016,0,32.41687778,-86.35568889,27,8,0,0,0,7,2,0,1,20,9,2012,0,0,1,26,0,0,0,0
1,227,2,2,0,101,1/2/16,2,1,2016,0,32.41687778,-86.35568889,20,8,0,0,0,7,2,0,1,20,9,2012,0,0,1,26,0,0,0,0
1,227,2,3,0,101,1/2/16,2,1,2016,0,32.41687778,-86.35568889,12,8,0,0,0,7,2,0,1,20,9,2012,0,0,1,26,0,0,0,0
1,227,3,1,0,101,1/2/16,2,1,2016,0,32.41687778,-86.35568889,41,20,0,0,0,3,14,0,0,2,403,2008,0,0,1,0,0,0,0,0
1,227,3,2,0,101,1/2/16,2,1,2016,0,32.41687778,-86.35568889,17,20,0,0,0,3,14,0,0,2,403,2008,0,0,1,0,0,0,0,0
1,231,1,1,0,113,4/21/16,21,4,2016,0,32.38103333,-85.38009722,61,2,0,0,0,7,15,0,1,19,421,2011,0,0,1,0,0,0,0,0
1,239,1,1,350,73,5/3/16,3,5,2016,0,33.48693611,-86.85549167,42,8,0,0,0,3,31,0,2,12,481,2009,0,0,1,38,0,0,0,99
1,239,1,2,350,73,5/3/16,3,5,2016,0,33.48693611,-86.85549167,27,8,0,0,0,7,31,0,2,12,481,2009,0,0,1,38,0,0,0,99
1,239,1,3,350,73,5/3/16,3,5,2016,0,33.48693611,-86.85549167,25,8,0,0,0,7,31,0,2,12,481,2009,0,0,1,38,0,0,0,99
1,246,1,1,930,69,5/7/16,7,5,2016,0,31.23985278,-85.48088333,68,8,0,0,0,3,5,0,1,37,39,2011,0,0,1,89,39,0,0,99
1,246,2,1,930,69,5/7/16,7,5,2016,0,31.23985278,-85.48088333,74,8,0,0,0,3,4,0,0,49,43,2015,0,0,1,0,0,0,0,0
1,246,2,2,930,69,5/7/16,7,5,2016,0,31.23985278,-85.48088333,71,8,0,0,0,3,4,0,0,49,43,2015,0,0,1,0,0,0,0,0
1,248,1,1,330,73,5/9/16,9,5,2016,0,33.3337,-86.96317222,74,8,0,0,0,7,4,0,1,49,40,2010,0,0,1,0,0,0,0,0
1,253,1,1,0,77,4/14/16,14,4,2016,0,34.99738056,-87.511725,22,1,0,0,0,3,4,0,0,12,37,2012,0,0,1,89,28,0,0,14
1,258,1,1,0,99,5/6/16,6,5,2016,0,31.46561667,-87.33983333,78,8,0,0,0,7,4,0,1,18,22,2013,0,0,1,39,0,0,0,99
1,262,1,1,350,73,5/12/16,12,5,2016,0,33.55181667,-86.73824444,23,20,0,0,0,3,4,0,0,12,16,2008,0,0,1,0,0,0,0,0
1,264,1,1,655,117,5/12/16,12,5,2016,0,33.34996944,-86.62040278,68,1,0,0,0,3,31,0,0,12,481,2010,0,0,1,39,38,0,0,0
1,264,5,1,655,117,5/12/16,12,5,2016,0,33.34996944,-86.62040278,43,1,0,0,0,3,4,0,0,35,39,2012,0,0,1,0,0,0,0,0
1,265,1,1,1615,39,5/13/16,13,5,2016,0,31.35647778,-86.4701,54,20,0,0,0,3,15,0,0,12,422,2008,0,0,1,0,0,0,0,99
